Algorithm,R2_mean,R2_std,R2_min,R2_max,R2_range,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,RMSE_range,MAE_mean,MAE_std,MAE_min,MAE_max,MAE_range,n_seeds
Random Forest Regressor,0.9503505026434977,0.00019109718840060115,0.9500574695332272,0.9506029391573008,0.0005454696240735357,20.905280861915443,0.04022053877353541,20.85210661746418,20.9669207655254,0.11481414806122103,11.458751925990637,0.01988755848508329,11.431073880609828,11.488548354259954,0.057474473650126257,5
XGBoost Regressor (Redo),0.950104936205674,0.0004600183707181497,0.9495967019598199,0.9508942288670721,0.0012975269072521556,20.956731304865848,0.09675232575705621,20.790534279609556,21.0634186462628,0.2728843666532441,11.548281741680663,0.05322567395975007,11.477893844985276,11.622270101893912,0.14437625690863598,5
Ridge Regression (Baseline),0.9496503366547386,0.0,0.9496503366547387,0.9496503366547387,0.0,21.052208757461123,0.0,21.052208757461123,21.052208757461123,0.0,11.60650906526745,0.0,11.60650906526745,11.60650906526745,0.0,5
Decision Tree Regressor,0.9317087790222365,0.0009710191780352484,0.9307298033993106,0.9329982706910137,0.002268467291703158,24.517197181044207,0.17450982576631494,24.285239361806198,24.692928137051005,0.4076887752448073,12.77439301865067,0.0319654846922043,12.72272566731503,12.810632499828026,0.08790683251299569,5
